,tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id,service_provider,label
403966,2803327,142943.0,True,2017-11-22 01:42:35+00:00,@AmazonHelp It’s still the same and when I go on track order it doesn’t say when it should ship,2803325,2803329.0,amazonhelp,negative
49665,1291045,421911.0,True,2017-10-29 10:21:41+00:00,@AmazonHelp @138673 @115850 Why shall i keep running behind this after paying full money,"1291046,1291047",1291044.0,amazonhelp,negative
23262,507123,236403.0,True,2017-12-01 21:37:25+00:00,"@AmazonHelp I got a package that I didn’t order. It had my name and shipping info on it, but it’s not in my recent orders on my acc. I called your cs but she could not understand me. Should I be worried about my account being compromised or being billed for this unwanted item?",507121,,amazonhelp,negative
396206,2509232,715317.0,True,2017-11-15 23:28:52+00:00,"@AmazonHelp ""From AMZL US at 5PM today.
Carrier is unable to gain access to front door to deliver the package. Please contact the carrier to resolve"" (Though there is no code to access my house) 2/2",2509235,2509231.0,amazonhelp,negative
45389,1163749,310133.0,True,2017-10-15 19:12:27+00:00,"Why, when I was in the house and have a designated safe place, would @AmazonHelp leave my parcel in my next door neighbour's wheelie bin",1163748,,amazonhelp,negative
26417,598995,262065.0,True,2017-12-03 21:51:13+00:00,@AmazonHelp It's UK. no date is shown even now.,,598993.0,amazonhelp,negative
39324,980765,350538.0,True,2017-10-14 08:21:33+00:00,"@AmazonHelp Here is the details &amp; filled your fake forms for 5 times already. Not wasting time anymore. 
https://t.co/yIePNy1Etu","980772,980763",980773.0,amazonhelp,negative
330323,2060914,609529.0,True,2017-10-07 17:56:52+00:00,@AmazonHelp @UPSHelp @609530 Someone pls help explain why my order placed on 9/21 has still not arrived in #PuertoRico. Today is 10/7. https://t.co/qNNcMfuUcM,"2060913,2060915,2060916",,amazonhelp,negative
400685,2679199,419807.0,True,2017-10-31 14:46:08+00:00,"@AmazonHelp @115850  @115821  too big to care about customers! 
#patheticservice
#cheatingcustomers
@118702 @4167 https://t.co/2ywym9PBTA","2679198,2679200",,amazonhelp,negative
58706,1563543,482840.0,True,2017-11-05 17:44:07+00:00,"@AmazonHelp We had a missed delivery on Friday, driver must have ignored delivery instructions. Now we have been given a delivery date of Wednesday.",1563545,1563542.0,amazonhelp,negative
408024,2922576,808802.0,True,2017-11-29 02:56:21+00:00,@AmazonHelp 1st rep just said she was sorry &amp; she couldn't do anything even when I asked for specific solutions.,,2922570.0,amazonhelp,negative
18881,420940,191024.0,True,2017-10-10 14:30:59+00:00,@AmazonHelp Should i wait till 10 pm estimated delivery time is 8 pm but not received by 8 pm not happy with service provided by @115850,420941,420939.0,amazonhelp,negative
31329,760474,301352.0,True,2017-10-11 20:00:12+00:00,@Amazonhelp Twanna S. told me that my wedding gift ordered a month ago is coming while I'm away and that they can't change date https://t.co/1D6reeivBm,760473,,amazonhelp,negative
400463,2671593,120032.0,True,2017-10-31 10:42:15+00:00,@AmazonHelp Have spoken with Customer Care and the reply is negative hence posted on Twitter,"2671595,2671596",2671592.0,amazonhelp,negative
328340,1835706,333504.0,True,2017-10-18 11:59:32+00:00,@AmazonHelp I don't know how to see who it is @118373 please help,1835711,1835704.0,amazonhelp,negative
399628,2631439,743046.0,True,2017-11-17 18:15:57+00:00,So I’ve spent 40 mins on the phone to @AmazonHelp who have no idea why they’ve taken £15 from my account and have referred me to my bank because they “can’t” refund it. Absolutely disgusting. I’m without money and you can’t do anything about it? Lol ok,2631437,,amazonhelp,negative
3186,97586,137353.0,True,2017-11-30 16:26:50+00:00,@AmazonHelp Direct on @115830 @115830 i never shared the code nor my mum. @AmazonHelp told me to do a charge back on my card! Not happy.,,97585.0,amazonhelp,negative
7396,207543,165089.0,True,2017-11-03 18:22:50+00:00,@AmazonHelp 3 orders not turning up in one week why does it say dispatched and will be with you today if not? What are your drivers doing?,207541,207547.0,amazonhelp,negative
44846,1143547,389150.0,True,2017-10-16 20:03:33+00:00,@AmazonHelp to also report this as you request but its precisely that requirement in the process I find convoluted unless it really is device specific.,,1143546.0,amazonhelp,negative
333804,2236379,504621.0,True,2017-11-10 16:14:44+00:00,@AmazonHelp parcel is due to be delivered today but it hasn't been dispatched yet? Will it come today or tomorrow now??,2236378,,amazonhelp,negative
41264,1038143,358801.0,True,2017-10-23 02:10:19+00:00,@AmazonHelp So the package was not delivered and an attempted was not made because a signature was not requested https://t.co/QhkBw7UYmv,1038142,1038144.0,amazonhelp,negative
62896,1710643,172452.0,True,2017-10-17 18:27:10+00:00,@AmazonHelp already talked several times with you but in vain.....Check my account with the same name,1710645,1710642.0,amazonhelp,negative
27529,643835,195058.0,True,2017-10-14 16:10:13+00:00,"@AmazonHelp What correspondence and what response, your social media team is a joke.",643836,643832.0,amazonhelp,negative
16194,374167,204706.0,True,2017-10-09 03:09:00+00:00,@AmazonHelp Anyways in future honestly I won't buy anything from @116090 nd will write a blog as well.,,374166.0,amazonhelp,negative
9877,256721,177048.0,True,2017-10-08 08:24:58+00:00,@AmazonHelp This are orders no ..I know nxt tym agn u PPL will give difrnt reasons##patheticservice##amazon## https://t.co/AxVV35Ra42,"256723,256724",256719.0,amazonhelp,negative
15391,352394,199801.0,True,2017-11-28 01:14:07+00:00,@AmazonHelp no resolution...no feedback..that's how amazon work...only sales n let the customer suffer..you only act as middle man..no customer support...#BoycottAmazon,352395,352393.0,amazonhelp,negative
23790,523414,240943.0,True,2017-12-02 04:24:50+00:00,Echo stopped working and @AmazonHelp basically told me tough luck.  So disappointed in customer service.,"523415,523413",,amazonhelp,negative
403316,2777328,273591.0,True,2017-11-21 16:14:09+00:00,@AmazonHelp Other than the email I received after their 'delivery attempt' do you mean? Or after I rang when they were less than 20 minutes away and could have returned straight away? How about just apologising for employing lazy incompetents. #openthegate #YouHadOneJob,,2777327.0,amazonhelp,negative
40598,1014762,360103.0,True,2017-10-24 17:55:17+00:00,@AmazonHelp U being a liar plus cheater when caught u do stupidity by avoiding to take action against superviser,,1014755.0,amazonhelp,negative
28760,679053,280276.0,True,2017-11-23 08:49:07+00:00,@AmazonHelp USPS they are saying it’s going to be delivered on Friday morning. We’ll see. Not understanding why I pay for prime Svs you guys treat the 2day shipping as optional.,,679052.0,amazonhelp,negative
21882,473196,227680.0,True,2017-12-01 19:58:51+00:00,"@AmazonHelp Only 2 hrs before amazon fail 2 days running to fail to deliver in a promised 4 hr slot... so much for being a “Prime” Customer, the company who make the product are in Austria and its assembled in China. I could have gone to Austria and China picked it up and b back home now.",473197,473195.0,amazonhelp,negative
24205,531618,208727.0,True,2017-12-02 16:47:12+00:00,@AmazonHelp @243150 Grammar police  here. Think you'll find you are doing the delivering or is the Brexit version of parcel delivering?,,531617.0,amazonhelp,negative
6552,182567,158933.0,True,2017-10-04 17:19:52+00:00,"@AmazonHelp Yes, and they have not responded. I consider this an urgent matter, since this guy is likely doing more of this",182566,182568.0,amazonhelp,negative
19473,428640,216952.0,True,2017-10-10 13:48:18+00:00,@AmazonHelp Even if it’s based on that there is no way the pick up gets cancelled and a msg is sent saying customer denied return,428642,428639.0,amazonhelp,negative
17180,388432,207921.0,True,2017-10-09 14:57:15+00:00,@AmazonHelp I have tried my email here and it's saying it doesn't recognise it,"388433,388434",388430.0,amazonhelp,negative
19762,432882,217958.0,True,2017-10-10 15:41:46+00:00,@AmazonHelp @115850 Agreed a delivery by 3-5 business days &amp; sending messages stating it will be delivered by 22nd NOV 2017 ! WTF,432892,432881.0,amazonhelp,negative
60092,1604084,492217.0,True,2017-11-05 08:16:00+00:00,@AmazonHelp Who can I contact concerning a return that I’ve been charged for because the items I mailed back were not received yet?,1604083,,amazonhelp,negative
38874,972288,350636.0,True,2017-10-22 08:08:11+00:00,"@AmazonHelp Very bad feeling with amazon,alway send used and defective product and never accept to replace product and refund money",972287,972289.0,amazonhelp,negative
49712,1293035,422381.0,True,2017-10-26 21:47:52+00:00,@AmazonHelp It's not giving me the option other wise I wouldn't be tweeting at you.,1293036,1293034.0,amazonhelp,negative
61569,1664422,507251.0,True,2017-11-06 10:27:42+00:00,@AmazonHelp None  trying to get it sorted but hitting a brick wall tbh.,,1664421.0,amazonhelp,negative
14480,337400,196513.0,True,2017-10-07 22:11:57+00:00,@AmazonHelp It's not a third party seller it's straight from you guys and @119514,337402,337399.0,amazonhelp,negative
398290,2582995,485014.0,True,2017-11-17 02:02:55+00:00,@AmazonHelp This is all I have https://t.co/pWrSms20a9,2582996,2582994.0,amazonhelp,negative
64094,1741783,175405.0,True,2017-11-07 16:48:17+00:00,@AmazonHelp U guys are mad..seriously,"1741782,1741784",1741785.0,amazonhelp,negative
330092,2025499,598995.0,True,2017-10-18 21:39:10+00:00,@AmazonHelp Going to a shop to buy from now on. #amazonrubbish,,2025495.0,amazonhelp,negative
402256,2739325,686228.0,True,2017-11-20 16:32:58+00:00,"@AmazonHelp please refund asap for my lost mobile phone,why are you not replying ,provide me refund asap",2739324,,amazonhelp,negative
404656,2827965,787640.0,True,2017-11-27 11:24:12+00:00,@AmazonHelp Any reason why the copy is pirated too !,2827964,2827966.0,amazonhelp,negative
55610,1462548,459456.0,True,2017-11-03 18:40:04+00:00,@AmazonHelp I have arranged for the collection on two separate days but no one turned up on either. The only info your website gives is arrange again??,1462549,1462547.0,amazonhelp,negative
30506,354446,200258.0,True,2017-10-11 15:16:00+00:00,@AmazonHelp 2/2 as everything work on the system@then whats the point wasting your money puting so many executie #Apnidukaan my foot #fraud #pathetic,,354445.0,amazonhelp,negative
18108,399143,210369.0,True,2017-11-04 20:40:02+00:00,@AmazonHelp Nothing has changed after reaching you out. I had asked what I deserve but that was denied.,399145,399142.0,amazonhelp,negative
395001,2465358,705515.0,True,2017-10-29 19:49:27+00:00,@AmazonHelp A prompter response from Twitter than from a 45 min phone call. Too bad neither got me my package,2465360,2465357.0,amazonhelp,negative
46006,1190261,288804.0,True,2017-11-27 13:45:15+00:00,"@AmazonHelp @AmazonHelp  waiting for last 2 days to hear that update which you are referring,
That's why I asked for a call back,
Now don't go back on your words commiting to give me a call back, now again saying the same update (which I never get),
Pls arrange a call back",1190262,1190260.0,amazonhelp,negative
36371,901043,333894.0,True,2017-10-16 07:43:38+00:00,@AmazonHelp No pick up yet what to do now,901044,901042.0,amazonhelp,negative
335514,2290253,665294.0,True,2017-11-12 07:13:03+00:00,@AmazonHelp Support team is not replying properly. CCE has listened my query and end the call.,2290255,2290252.0,amazonhelp,negative
398362,2586326,732846.0,True,2017-11-17 00:50:46+00:00,@AmazonHelp email at 22.31 stating not able to source the item... go on amazon and here it is! I orderd this prime on monday.... explain? https://t.co/eOQFryFDzK,2586323,,amazonhelp,negative
23651,519808,239960.0,True,2017-12-02 03:05:51+00:00,@AmazonHelp She said the driver clocked out. Am I supposed to be waiting for a package to drive itself?,519809,519807.0,amazonhelp,negative
56927,1500732,366914.0,True,2017-11-03 14:57:34+00:00,@AmazonHelp Hi. No. I am not filing out a form one more time for the same complaint. That’s not how it works this time. You get in touch with me,"1500730,1500737,1500738",1500739.0,amazonhelp,negative
19664,431123,217514.0,True,2017-10-09 19:53:07+00:00,it's genuinely shaken me so much i was gonna call the police and it turned out to be a fucking amazon delivery guy @AmazonHelp,"431121,431125",431126.0,amazonhelp,negative
24681,544463,246502.0,True,2017-12-02 16:20:21+00:00,@AmazonHelp just got an email to say my parcel couldn't be delivered because no one is in. I've been all day and the door bell is working.. this is the second day in a row this has happened.. (I pay for prime) ,544461,,amazonhelp,negative
61744,1668294,213927.0,True,2017-11-06 12:27:03+00:00,@AmazonHelp It just says ‘preparing for dispatch’ clicking track just kicks me back to orders page.,1668296,1668293.0,amazonhelp,negative
407199,2897659,147110.0,True,2017-11-28 16:48:16+00:00,@AmazonHelp My prime membership has been refunded for Nov and I have cancelled prime.  Still annoyed by your deceptive advertising,,2897658.0,amazonhelp,negative
407378,2902619,578663.0,True,2017-11-28 18:27:14+00:00,"My package was ‘probably delivered’ according to @AmazonHelp - it hasn’t been. 

The seller has not communicated back to me &amp; I’m £400 out of pocket. 

To say I’m unimpressed at response of Amazon is an understatement. https://t.co/FLUzqLebZB",2902617,,amazonhelp,negative
59336,1579054,486254.0,True,2017-11-05 12:33:52+00:00,@AmazonHelp None of the above in that article applies to me.,1579056,1579053.0,amazonhelp,negative
11913,293800,185997.0,True,2017-10-06 17:08:44+00:00,@AmazonHelp I've had this book delivered today and it's turned up like this. How do I sort a refund? https://t.co/RhWKO5LYhl,293799,,amazonhelp,negative
34021,835828,318974.0,True,2017-10-13 08:30:50+00:00,"@AmazonHelp customer care support is very poor, they are not ready to accept their faults and fooling customers","835827,835829",,amazonhelp,negative
36968,919451,338252.0,True,2017-10-19 14:00:13+00:00,@AmazonHelp I will wait for it. In case i dont get a resolution for this i am going to file a case against ur company for false information n negligence,919450,919452.0,amazonhelp,negative
27939,657877,276614.0,True,2017-11-23 09:23:42+00:00,@AmazonHelp Lots of apologies but no actual action.,,657875.0,amazonhelp,negative
34497,844089,320691.0,True,2017-10-20 13:37:51+00:00,"@AmazonHelp I received sms from my bank, no one have access my card , i need to know which account trying to use my card",844088,844090.0,amazonhelp,negative
44013,1123637,384985.0,True,2017-10-15 16:09:24+00:00,@AmazonHelp And not a single call to me from any delivery guy. I have never had such bad experience,,1123635.0,amazonhelp,negative
408465,2931911,704590.0,True,2017-11-29 08:42:00+00:00,@AmazonHelp Yes . That was a waste of time . Told me to wait until 1/12 . If yo send them out today it leaves 6 working days &amp; that leaves the day of the gig  . Shouldn’t have to go to the box office . Someone’s not doing their job !,,2931910.0,amazonhelp,negative
30158,728116,294423.0,True,2017-10-15 09:59:39+00:00,"@AmazonHelp No, I am now being told a despatch date of 16th October. Still can’t cancel the order and have given up with your customer service team",728117,728115.0,amazonhelp,negative
59183,1574477,436532.0,True,2017-10-17 07:24:37+00:00,"@AmazonHelp Filled up the form. It's almost been an hour. No contact, no help.",1574479,1574476.0,amazonhelp,negative
4338,132386,145867.0,True,2017-11-24 08:18:44+00:00,@AmazonHelp @145866 Sounds more like you dont think you'll cope with the Black Friday rush and get everything delivered tomorrow.  So you dont want to extend people's prime membership for late deliveries. There is not a single thing on Amazon I can get delivered tomorrow.,132388,132385.0,amazonhelp,negative
26854,616945,137110.0,True,2017-11-22 14:33:26+00:00,@AmazonHelp eh none of those are really helpful.,,616944.0,amazonhelp,negative
55619,1463444,459670.0,True,2017-11-02 18:42:52+00:00,@AmazonHelp  I bought something yesterday with Prime about 1pm. Said it's arriving today and still nothing has arrived. Slow delivery maybe?,1463443,,amazonhelp,negative
15033,348645,198994.0,True,2017-10-08 06:56:12+00:00,I have not yet received my product but @AmazonHelp @115850 @29979  updated it as delivered #poorservice  #Irresponsible https://t.co/Q5DzYOcwYf,"348644,348646",,amazonhelp,negative
48906,1267635,240244.0,True,2017-10-26 17:19:06+00:00,"@AmazonHelp I want people to see the pics I took of damaged delivery. Also the product listing says ""item not returnable"". Isn't that against policy 1/2",,1267631.0,amazonhelp,negative
27205,631658,269689.0,True,2017-11-22 16:21:47+00:00,"@AmazonHelp I was charged for an amazon prime account I didn’t want, I cancelled my account awhile ago and they refuse to give me a refund",631660,631656.0,amazonhelp,negative
25598,575317,231112.0,True,2017-12-03 10:21:41+00:00,@AmazonHelp No they will not call me,575318,575316.0,amazonhelp,negative
43524,1110840,382177.0,True,2017-10-15 11:44:58+00:00,@AmazonHelp So you basically say that you are not responsible for a FALSE and incorrect information used to Lure a customer?,"1110841,1110842",1110838.0,amazonhelp,negative
23857,524971,241410.0,True,2017-12-02 05:44:31+00:00,@AmazonHelp I’m waiting the 36 hours to see if it shows up. This has just been a reoccurring problem.,,524970.0,amazonhelp,negative
339070,2389653,318905.0,True,2017-11-14 12:40:07+00:00,"@AmazonHelp How long I have to wait for ""mi A1"" mobile handset? Your competitors have them in plenty. I will wait for a week from now.
If it still doesn't show me up, I am sorry I will have to get it from your competitor.",2389655,2389652.0,amazonhelp,negative
16666,382329,206646.0,True,2017-10-26 08:55:34+00:00,@AmazonHelp responde the email regarding my account?? I dont understand,382328,382330.0,amazonhelp,negative
39601,986355,353765.0,True,2017-10-22 11:43:11+00:00,"@AmazonHelp @115850 @AmazonHelp  reaching to Ur customer service is more pathetic... The call gets cut everytime, don't want stupid IVR",986357,986353.0,amazonhelp,negative
20063,437373,218869.0,True,2017-10-28 10:13:42+00:00,"@AmazonHelp Well, now going to the police. couriers called promising driver and Ins details last Fri.No word &amp; not answering now.All calls were recorded",437376,437371.0,amazonhelp,negative
47936,1245963,412296.0,True,2017-10-26 11:00:05+00:00,@AmazonHelp @412295 hardly any items available for next day delivery. Doesnt fly in todays world. One or two ive found prices jacked to 5.99 Prime mem since beg,,1245961.0,amazonhelp,negative
41933,1057380,369664.0,True,2017-10-23 12:20:22+00:00,@AmazonHelp Not sure who the carrier was. But I was told Thursday I would get a call back Friday. Did not receive the call Friday and still haven’t 1/2,,1057378.0,amazonhelp,negative
50966,1329939,430296.0,True,2017-10-27 12:49:51+00:00,@AmazonHelp My order from 10 days ago I needed for an event today. Customer Service said to “rest assured it will be here” before today. Still not here.,1329941,1329938.0,amazonhelp,negative
5820,173466,156608.0,True,2017-11-25 07:49:46+00:00,"@AmazonHelp I fucking take that back shit awrful crap customer service, time to contact trading standards now about this.",,173465.0,amazonhelp,negative
42004,1054790,297517.0,True,2017-10-23 12:52:53+00:00,@AmazonHelp @115850 Check this you all cheaters #Amazon @115850 @115821 @119351 https://t.co/fEKlfq7y88,"1060423,1060424",1054784.0,amazonhelp,negative
62646,1703120,516316.0,True,2017-11-06 22:45:50+00:00,@AmazonHelp Anything further on this?,1703123,1703119.0,amazonhelp,neutral
30955,752885,299942.0,True,2017-10-11 14:41:26+00:00,@AmazonHelp is this from you? https://t.co/d0DgUfLDh2,752884,,amazonhelp,neutral
338787,2383175,686999.0,True,2017-10-20 07:30:40+00:00,@AmazonHelp 3-5 working days to investigate a case of non delivered product . @115821 @115851 : Amazing @115850,,2383173.0,amazonhelp,neutral
338963,2386396,336128.0,True,2017-10-20 10:18:53+00:00,@AmazonHelp I have already shared my details,2386397,2386395.0,amazonhelp,neutral
398991,2606684,737428.0,True,2017-10-30 23:39:21+00:00,@AmazonHelp Yeah she did. Whether or not they'll actually do anything with the complaint is anyone's guess.,,2606683.0,amazonhelp,neutral
336735,2309522,456483.0,True,2017-11-13 03:08:34+00:00,"@AmazonHelp I have bought Amazon echo in India, will it work if I take it to Dubai??",2309521,,amazonhelp,neutral
398225,2578561,731041.0,True,2017-11-27 10:02:36+00:00,@AmazonHelp Confirmation email states the offer price but order history on my account shows the amount pending on my bank account (the full price).,2578562,2578559.0,amazonhelp,neutral
62935,1712070,518587.0,True,2017-11-07 02:27:23+00:00,@AmazonHelp Can you tell me what your moms phone number is so I can take her to red lobster,,1712069.0,amazonhelp,neutral
39355,981474,352711.0,True,2017-10-18 05:40:42+00:00,@AmazonHelp Call me I'll surely elaborate this,"981475,981476",981473.0,amazonhelp,neutral
1497,44553,125883.0,True,2017-11-01 16:46:31+00:00,@AmazonHelp Ok. It doesnt list the cost? &amp; wat exactly is my $3 a month pay for?,,44551.0,amazonhelp,neutral
10133,261695,178318.0,True,2017-10-05 21:51:37+00:00,@AmazonHelp Mail on September 28 https://t.co/2yr16xyD44,,261690.0,amazonhelp,neutral
398685,2599732,735945.0,True,2017-11-17 07:00:24+00:00,"@AmazonHelp Just call me, account is related to my mob... what else you need.order ref is 4__credit_card__","2599734,2599735",2599731.0,amazonhelp,neutral
49562,1287008,421028.0,True,2017-10-26 21:34:10+00:00,@AmazonHelp Ah ok - can I DM you a screenshot of the email you sent to me so you can check?  There’s no Credit Card details on it.,"1287010,1287011",1287007.0,amazonhelp,neutral
23535,516664,239081.0,True,2017-12-02 01:11:57+00:00,@AmazonHelp It was supposed to be today at 8pm. Now it's moved to Dec 2-6th. I expected it all day as it told me for two days it was coming today.,516666,516663.0,amazonhelp,neutral
18557,417036,152471.0,True,2017-10-10 04:11:17+00:00,@AmazonHelp This book.,417037,417035.0,amazonhelp,neutral
397795,2562103,727115.0,True,2017-11-16 18:03:17+00:00,"@AmazonHelp No. Sigh. I'll check around the house again when I get home tonight. If I can't find it, I'll get in touch. Thanks.",,2562102.0,amazonhelp,neutral
64570,1757994,529272.0,True,2017-11-07 20:00:46+00:00,"@AmazonHelp @115850 you have my order I'd, you should reach out to me with solution rather than diverting me to different option.",1757996,1757993.0,amazonhelp,neutral
404156,2810734,783720.0,True,2017-11-22 07:21:58+00:00,"@AmazonHelp The feedback is for Amazon customers, like myself, to know how the packaging and overall experience was.  I see this type of info included in other “non prime” products, so it looks like it’s an attempt on Amazon’s part to omit these type of reviews for “Prime” products only!",,2810733.0,amazonhelp,neutral
62244,1688613,512748.0,True,2017-11-06 20:58:33+00:00,@AmazonHelp Yeah I was thinking that too. Do you have a link to .co.uk ones?,1688614,1688612.0,amazonhelp,neutral
60831,1630226,498975.0,True,2017-11-05 19:37:16+00:00,"@AmazonHelp No, just said they’ll try again another time",,1630225.0,amazonhelp,neutral
48006,1248275,412871.0,True,2017-10-31 19:26:58+00:00,@AmazonHelp Reached out,,1248272.0,amazonhelp,neutral
9724,253936,176364.0,True,2017-09-29 19:50:21+00:00,"@AmazonHelp No, we have cancelled all orders now and won’t be ordering again! Thank you for your fast reply though",253938,253935.0,amazonhelp,neutral
5338,155107,151573.0,True,2017-11-24 17:00:49+00:00,@AmazonHelp I guess it was a third party seller which I didn’t realize at the time of purchase. I was okay with it because no one had yet posted about not receiving anything from them.. it is through HomeHere.. the GARYOB 30pc eyeshadow pallet,,155106.0,amazonhelp,neutral
23152,504908,235758.0,True,2017-12-01 21:43:59+00:00,@AmazonHelp When do you really expect to have Zenoblade 2 LE to be back in stock? The site is now saying the 8th.,,504907.0,amazonhelp,neutral
44270,1128120,385949.0,True,2017-10-24 10:50:44+00:00,"@AmazonHelp Order placed on 15, req 4 add. Chnge same time, got assurance to be delvrd on 21 on new address. Not rcvd on 21 caled again evry day nd 1/2",,1128117.0,amazonhelp,neutral
21245,460027,224307.0,True,2017-12-01 01:44:02+00:00,@AmazonHelp I’ll let yu know if it works or not I’m watching the game on mobdro right now I also can’t watch the wire on my prime account also,,460026.0,amazonhelp,neutral
405376,2849035,599253.0,True,2017-11-27 19:07:24+00:00,@AmazonHelp First screenshot: The iOS Kindle app. Lots of populated collections. https://t.co/aK8gDdXvUG,2849036,2849033.0,amazonhelp,neutral
1417,41507,125124.0,True,2017-11-01 15:38:17+00:00,"@AmazonHelp This is the first time I've had this problem, so I haven't called them yet. Thank you for the information! I will give a call later today!",41506,41508.0,amazonhelp,neutral
3809,117911,142147.0,True,2017-11-23 16:42:38+00:00,@AmazonHelp Kept repeating that delivery had been attempted and that Amazon would investigate I had to push to speak to a supervisor who is now helping,117910,117912.0,amazonhelp,neutral
45090,1151765,391041.0,True,2017-10-24 15:14:38+00:00,@AmazonHelp if I purchase an amazon prime item on 19 Oct. and it says 2day shipping how long does it takes to reach?,1151763,,amazonhelp,neutral
39691,988107,354115.0,True,2017-10-14 11:28:18+00:00,@AmazonHelp Do it on urgent basis otherwise I will tag more people and share this,,988106.0,amazonhelp,neutral
21824,472372,227493.0,True,2017-12-01 09:27:16+00:00,@AmazonHelp My wife ordered it so I'll have to get her to msg you later. But for the record it's not the first time a delivery has been stashed somewhere silly,,472371.0,amazonhelp,neutral
44199,1127326,385787.0,True,2017-10-24 10:33:55+00:00,@AmazonHelp which section should i select https://t.co/YPFroHCAwn,1127328,1127324.0,amazonhelp,neutral
337829,2346290,678411.0,True,2017-11-20 16:57:28+00:00,@AmazonHelp Still waiting...,2346292,2346289.0,amazonhelp,neutral
51718,1354491,435865.0,True,2017-10-27 19:15:14+00:00,@AmazonHelp The tracking says arriving today however the date at the bottom changed to today this morning otherwise tracking hasn't changed,1354492,1354490.0,amazonhelp,neutral
50251,1310949,179898.0,True,2017-10-27 06:23:22+00:00,"@AmazonHelp Not yet.  Like I said, maybe I'll wake up to it.  Going to bed soon.",1310950,1310947.0,amazonhelp,neutral
7310,206177,164816.0,True,2017-11-06 13:15:25+00:00,@AmazonHelp They told me that they contacted the carrier that day and that I would positively receive my package Saturday. I did not.,206175,206181.0,amazonhelp,neutral
331083,2115538,123161.0,True,2017-11-08 17:43:36+00:00,"@AmazonHelp From what I can see, it was through @115817.",,2115537.0,amazonhelp,neutral
404922,2835605,789280.0,True,2017-11-27 15:04:30+00:00,@AmazonHelp Didn’t sign up for 2-step verification. I’ve had no trouble logging in. I’m sure it’s a phishing thing because I’ve gotten half a dozen of these emails. I’ll report it. Thanks for quick response.,2835604,2835606.0,amazonhelp,neutral
30573,739775,214484.0,True,2017-10-11 18:24:15+00:00,@AmazonHelp @120319 @734 @118342 @33795 Waiting for the reply,"739776,739777",739774.0,amazonhelp,neutral
17892,395317,169172.0,True,2017-09-21 23:54:11+00:00,@AmazonHelp @115830 @115851 395th day requesting any kind of response,395318,395316.0,amazonhelp,neutral
4076,127403,144608.0,True,2017-11-24 04:06:58+00:00,@AmazonHelp Already tried that. It's a brand new phone with a new install of the app. Oddly enough it still works on my old phone in the previous app version. The issue seems to be with the recent update. I have Prime and I'm in Canada if that helps.,"127401,127407",127408.0,amazonhelp,neutral
34026,836161,215880.0,True,2017-10-13 08:53:59+00:00,@AmazonHelp  - I have raised return request on ORDER # 403-5632031-5850769. How to check the status ? And how to contact Amazon?,"836160,836162,836163",,amazonhelp,neutral
